Datum von;Datum bis;Netzlast [MWh] Berechnete Auflösungen;Netzlast inkl. Pumpspeicher [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
03.05.2025;04.05.2025;1.044.411,50;1.079.495,75;35.084,25;537.937,50
04.05.2025;05.05.2025;1.015.710,25;1.070.835,75;55.125,50;365.048,75
05.05.2025;06.05.2025;1.257.968,00;1.287.522,25;29.554,25;706.482,75
06.05.2025;07.05.2025;1.261.736,25;1.296.226,00;34.489,75;642.013,25
07.05.2025;08.05.2025;1.274.046,50;1.307.760,75;33.714,25;762.363,75
08.05.2025;09.05.2025;1.268.314,50;1.296.924,75;28.610,25;777.614,25
09.05.2025;10.05.2025;-;-;-;-
10.05.2025;11.05.2025;1.032.974,13;1.073.449,50;40.606,50;530.880,88
11.05.2025;12.05.2025;948.592,25;993.853,75;45.261,50;317.524,50
12.05.2025;13.05.2025;1.209.983,50;1.247.084,00;37.100,50;411.749,75
13.05.2025;14.05.2025;-;-;-;-
